,RegionName,2016_InventoryMeasure_SSA_Zip_Public,2017_InventoryMeasure_SSA_Zip_Public,2018_InventoryMeasure_SSA_Zip_Public,2016_Zip_Listings_PriceCut_SeasAdj_AllHomes,2017_Zip_Listings_PriceCut_SeasAdj_AllHomes,2018_Zip_Listings_PriceCut_SeasAdj_AllHomes,2016_Zip_Median_PriceCut_Dollar_AllHomes,2017_Zip_Median_PriceCut_Dollar_AllHomes,2018_Zip_Median_PriceCut_Dollar_AllHomes,2016_Zip_MedianListingPrice_AllHomes,2017_Zip_MedianListingPrice_AllHomes,2018_Zip_MedianListingPrice_AllHomes,2016_Zip_MedianListingPricePerSqft_AllHomes,2017_Zip_MedianListingPricePerSqft_AllHomes,2018_Zip_MedianListingPricePerSqft_AllHomes,2016_Zip_MedianPctOfPriceReduction_AllHomes,2017_Zip_MedianPctOfPriceReduction_AllHomes,2018_Zip_MedianPctOfPriceReduction_AllHomes,2016_Zip_MedianRentalPrice_AllHomes,2017_Zip_MedianRentalPrice_AllHomes,2018_Zip_MedianRentalPrice_AllHomes,2016_Zip_MedianRentalPricePerSqft_AllHomes,2017_Zip_MedianRentalPricePerSqft_AllHomes,2018_Zip_MedianRentalPricePerSqft_AllHomes,2016_Zip_MedianValuePerSqft_AllHomes,2017_Zip_MedianValuePerSqft_AllHomes,2018_Zip_MedianValuePerSqft_AllHomes,2016_Zip_PctOfHomesDecreasingInValues_AllHomes,2017_Zip_PctOfHomesDecreasingInValues_AllHomes,2018_Zip_PctOfHomesDecreasingInValues_AllHomes,2016_Zip_PctOfHomesIncreasingInValues_AllHomes,2017_Zip_PctOfHomesIncreasingInValues_AllHomes,2018_Zip_PctOfHomesIncreasingInValues_AllHomes,2016_Zip_PctOfListingsWithPriceReductions_AllHomes,2017_Zip_PctOfListingsWithPriceReductions_AllHomes,2018_Zip_PctOfListingsWithPriceReductions_AllHomes,2016_Zip_PriceToRentRatio_AllHomes,2017_Zip_PriceToRentRatio_AllHomes,2018_Zip_PriceToRentRatio_AllHomes,2016_Zip_Zhvi_AllHomes,2017_Zip_Zhvi_AllHomes,2018_Zip_Zhvi_AllHomes,2016_Zip_Zhvi_BottomTier,2017_Zip_Zhvi_BottomTier,2018_Zip_Zhvi_BottomTier,2016_Zip_Zhvi_MiddleTier,2017_Zip_Zhvi_MiddleTier,2018_Zip_Zhvi_MiddleTier,2016_Zip_Zhvi_TopTier,2017_Zip_Zhvi_TopTier,2018_Zip_Zhvi_TopTier,2016_Zip_Zri_AllHomes,2017_Zip_Zri_AllHomes,2018_Zip_Zri_AllHomes,2016_Zip_Zri_AllHomesPlusMultifamily,2017_Zip_Zri_AllHomesPlusMultifamily,2018_Zip_Zri_AllHomesPlusMultifamily,2016_Zip_Zri_MultiFamilyResidenceRental,2017_Zip_Zri_MultiFamilyResidenceRental,2018_Zip_Zri_MultiFamilyResidenceRental,2016_Zip_Zri_SingleFamilyResidenceRental,2017_Zip_Zri_SingleFamilyResidenceRental,2018_Zip_Zri_SingleFamilyResidenceRental,2016_Zip_ZriPerSqft_AllHomes,2017_Zip_ZriPerSqft_AllHomes,2018_Zip_ZriPerSqft_AllHomes,2016_Body_Art_Est_Permanent,2016_Child_Care,2016_Combined_License,2016_Food_Retail,2016_Food_Wholesale,2016_Garage_Repair_of_Motor_Vehic,2016_Kennel,2016_Liquor,2016_Medical_Marijuana,"2016_Parking_Lot,_Garage",2016_Pedal_Cab_Company,2016_Retail_Food_Establishment,2016_Retail_Marijuana_,2016_Second_Hand_Dealer,2016_Short_Term_Rental,2016_Swimming_Pool,2016_Tree_Service_Company,2016_Valet_Location_License,2016_Waste_Hauler,2016_Grand_Total,2017_Body_Art_Est_Permanent,2017_Child_Care,2017_Combined_License,2017_Food_Retail,2017_Food_Wholesale,2017_Garage_Repair_of_Motor_Vehic,2017_Kennel,2017_Liquor,2017_Medical_Marijuana,"2017_Parking_Lot,_Garage",2017_Pedal_Cab_Company,2017_Retail_Food_Establishment,2017_Retail_Marijuana_,2017_Second_Hand_Dealer,2017_Short_Term_Rental,2017_Swimming_Pool,2017_Tree_Service_Company,2017_Valet_Location_License,2017_Waste_Hauler,2017_Grand_Total
0,80134.0,254.66666666666666,239.33333333333334,201.75,13.369151617178714,14.501463251761413,12.0307251001148,10485.208333333334,10637.5,10000.0,476481.25,484767.75,483424.75,197.33160690822675,212.308832263389,218.7174923913555,2.1868689492940847,1.9825159106264068,1.8133351414174523,2148.625,2192.875,2196.25,1.2215917552597084,1.2508474277862385,1.275333454240895,100.0,175.0,200.0,3.5316666666666667,3.4075,1.56,93.59249999999999,92.46,97.2275,13.369151578742715,14.501463213325392,9.633355888577928,13.994166666666667,15.163333333333332,15.985,411941.6666666667,440291.6666666667,462050.0,304058.3333333333,328408.3333333333,350475.0,411941.6666666667,440283.3333333333,462100.0,525533.3333333334,549216.6666666666,575550.0,2382.1666666666665,2377.8333333333335,2423.0,2370.9166666666665,2353.9166666666665,2403.75,1713.25,1729.5833333333333,1748.5,2449.4166666666665,2454.3333333333335,2481.5,1.1695,1.1675,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,80015.0,129.08333333333334,103.91666666666667,100.0,8.169491417290264,11.65658703911793,11.299394129473674,10779.166666666666,9053.583333333334,9061.0,368835.1666666667,388496.4583333333,399725.0,185.79674621745963,202.3530106583736,216.94896561961752,2.452787325055748,1.973894305504721,1.9390749198463326,1864.5,1950.8333333333333,2018.125,1.225436916559029,1.2832818326361775,1.3483325939504174,100.0,116.66666666666667,200.0,0.5991666666666666,1.0849999999999997,0.6525000000000001,98.835,97.22333333333331,98.35749999999999,8.169491432110208,11.656587053937875,9.08881828492903,13.542499999999999,14.605833333333331,15.372499999999999,340533.3333333333,369908.3333333333,392750.0,257408.33333333334,288891.6666666667,310400.0,340533.3333333333,369908.3333333333,392750.0,431516.6666666667,458025.0,478125.0,2075.0,2103.8333333333335,2154.75,2070.5,2095.5,2149.75,1459.5833333333333,1502.0833333333333,1554.5,2127.9166666666665,2148.5,2203.75,1.1578333333333333,1.165,1.1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2,80219.0,54.416666666666664,51.083333333333336,41.0,5.897177292948288,12.667451859381321,10.517561680072603,8732.085937742024,9205.161609722576,11257.125198718812,260841.66666666666,293520.8333333333,311247.5,294.1339953728054,330.511250563355,344.02713752263253,2.7119359471059963,2.6783877493392274,2.6448046105441843,1575.0,1706.4583333333333,1816.125,1.76752103682638,1.8433965885701733,1.8947699869154424,169.65782997519943,189.6052701638392,199.99999442199277,1.1958333333333335,0.8808333333333334,1.19,98.43249999999999,98.53500000000001,98.1875,5.897177296529999,12.667451862963025,8.253263156087522,12.035833333333334,13.266666666666666,14.3225,242350.0,277475.0,308500.0,209533.33333333334,243383.33333333334,269475.0,242341.66666666666,277475.0,308525.0,286625.0,325391.6666666667,353625.0,1689.5833333333333,1732.1666666666667,1773.75,1689.0833333333333,1730.9166666666667,1771.25,1549.5833333333333,1596.9166666666667,1609.75,1696.5,1741.5,1781.5,1.7218333333333335,1.7764999999999997,1.8204999999999998,0.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,44.0,0.0,7.0,1.0,2.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,35.0,0.0,1.0,0.0,0.0,79.0
3,80016.0,237.58333333333334,227.0,232.0,12.441471643971658,18.11266647136578,15.7098071037137,11210.791666666666,10824.375,10000.0,502758.125,537429.125,538134.625,187.86757610891812,195.9227039639442,202.237895506391,2.1536040653871606,1.9357381231181392,1.79380114502755,2440.8333333333335,2426.8333333333335,2483.75,1.0457674591720412,1.1162658037603166,1.1336979978291901,100.0,166.66666666666666,200.0,3.2249999999999996,3.2116666666666664,3.7975,93.3075,92.635,93.06249999999999,12.44147163205868,18.112666459452765,14.293639523251649,14.730000000000002,15.961666666666668,16.52,474191.6666666667,503458.3333333333,533500.0,365900.0,395400.0,414425.0,474191.6666666667,503458.3333333333,533500.0,615633.3333333334,652100.0,689550.0,2684.5,2666.6666666666665,2726.25,2656.5833333333335,2640.4166666666665,2700.75,1879.9166666666667,1872.25,1917.75,2747.6666666666665,2706.0833333333335,2787.25,1.1053333333333333,1.1038333333333334,1.1320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,80020.0,70.41666666666667,58.166666666666664,50.25,9.168316741856048,11.9908139080519,8.696495881211941,11949.916666666666,11412.5,12050.0,352089.5833333333,382129.1666666667,393725.0,217.4417148477102,237.27436250764643,243.46508822212775,2.5046344792461657,2.7289658608022798,2.841105419818688,1905.8333333333333,2002.7916666666667,2058.125,1.3139934444961057,1.3811008063280117,1.3874603174737399,200.0,200.0,200.0,1.6516666666666664,2.1758333333333333,3.1100000000000003,96.98666666666668,94.62166666666667,92.655,9.168316783596472,11.990813949792342,6.3386314048939925,13.764166666666666,15.015833333333333,15.969999999999999,331291.6666666667,363583.3333333333,381325.0,274300.0,309008.3333333333,331175.0,331291.6666666667,363583.3333333333,381325.0,423158.3333333333,456216.6666666667,469150.0,2022.1666666666667,2019.75,2044.75,2019.75,2017.0,2040.75,1725.1666666666667,1766.25,1822.75,2043.5833333333333,2032.25,2059.75,1.2683333333333333,1.2581666666666669,1.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5,80123.0,89.25,60.25,67.5,11.336502177041373,12.865401852631608,11.168034591034193,13568.791666666666,12787.5,18131.25,386800.0,389087.0,407850.0,237.6209316719163,258.4720268936658,277.3877801214247,2.7775966244704926,2.5836551445973446,2.8876082485847676,1531.875,1699.375,1696.125,1.3172060858332042,1.3946235460423118,1.4568490831608725,174.97572197579026,199.90265493251775,200.00000126150573,2.6933333333333334,3.3891666666666667,4.449999999999999,95.23166666666667,93.3291666666667,92.80250000000001,11.336502190485833,12.865401866076049,8.246859027185723,14.235833333333332,15.374166666666667,16.1275,347116.6666666667,377608.3333333333,399725.0,255466.66666666666,282125.0,301825.0,347108.3333333333,377600.0,399700.0,545250.0,576691.6666666666,609750.0,2050.3333333333335,2050.6666666666665,2106.75,2042.6666666666667,2044.75,2101.0,1644.6666666666667,1705.0833333333333,1712.75,2237.5833333333335,2189.8333333333335,2206.0,1.3188333333333333,1.3328333333333333,1.343,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
6,80014.0,69.08333333333333,57.0,49.5,8.46103443033492,11.521884731465294,8.820811555812401,8595.833333333334,7389.583333333333,9312.5,240431.25,260712.5,274862.375,170.70785911060452,188.93075116740735,204.10928032165376,2.8625134433403416,2.8289449868638026,2.588169680355912,1472.0833333333333,1574.7916666666667,1540.625,1.2112462253623508,1.2957191309068758,1.3463006628685876,100.0,100.0,100.0,0.6975000000000001,1.3858333333333333,1.8675000000000002,98.755,97.00999999999999,96.995,8.46103445061136,11.521884751741736,6.2563638262223344,11.958333333333336,12.905833333333334,13.762500000000001,238416.66666666666,264150.0,285425.0,161341.66666666666,180191.66666666666,196250.0,238416.66666666666,264150.0,285425.0,328675.0,360041.6666666667,380200.0,1700.5,1756.4166666666667,1794.5,1692.8333333333333,1747.4166666666667,1787.25,1535.8333333333333,1572.25,1609.75,2028.0,2060.0,2124.0,1.2003333333333335,1.2271666666666667,1.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
7,80229.0,53.416666666666664,48.583333333333336,35.25,4.556405759713359,8.190032660492212,6.636887240053652,8677.285340703895,8647.337831290368,10673.96458326534,243333.29166666666,275641.6666666667,291598.375,183.43268191092875,203.5855777861008,215.27431389696224,2.7518956296766257,2.722839274672519,2.6342012430265624,1522.875,1643.9583333333333,1697.5,1.263526222337515,1.3410020616207616,1.4116801611949152,100.0,191.66666666666666,200.0,0.26500000000000007,0.54,0.765,99.46583333333332,98.94166666666668,98.3575,4.556405743385799,8.190032644164662,4.429286363411277,12.1275,13.181666666666667,14.035,242016.66666666666,272750.0,292875.0,206391.66666666666,228883.33333333334,246375.0,242016.66666666666,272750.0,292875.0,279916.6666666667,310883.3333333333,333700.0,1648.4166666666667,1691.3333333333333,1749.5,1645.4166666666667,1687.8333333333333,1740.25,1452.75,1466.0833333333333,1504.25,1688.8333333333333,1732.1666666666667,1780.0,1.3251666666666668,1.372,1.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,80220.0,99.33333333333333,95.66666666666667,82.5,14.12706753114616,17.19191534298226,17.981130470519872,19295.833333333332,14841.875,11287.5,539637.5,547170.8333333334,551823.75,435.25679757739937,458.38097383219946,465.4359994038282,3.201078191910844,2.764139078672535,2.4206471617067025,1831.25,1877.9166666666667,1954.375,1.8975964192797523,1.9625917866266807,1.9620805546604652,176.98752726847746,198.0361125559384,199.99999947695406,3.4441666666666664,5.370833333333334,9.3675,94.22999999999998,90.79166666666667,86.21249999999999,14.12706749073366,17.19191530256977,15.570205682023925,16.66583333333333,18.135,19.7775,432341.6666666667,478925.0,512050.0,250558.33333333334,281916.6666666667,303475.0,432333.3333333333,478925.0,512050.0,781000.0,847575.0,904900.0,2231.5833333333335,2262.4166666666665,2246.5,2182.8333333333335,2227.9166666666665,2191.75,1554.8333333333333,1566.5833333333333,1573.25,2381.9166666666665,2378.5833333333335,2399.25,1.8495000000000001,1.8551666666666666,1.8575,1.0,0.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,33.0,2.0,4.0,1.0,2.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,9.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,79.0
9,80231.0,53.25,49.583333333333336,42.0,8.77868114835825,13.282279419548006,6.68996823595538,14125.0,9345.875,24825.0,352984.73074731074,290904.375,301800.0,275.88244582121536,292.5316563712002,280.4604621159053,2.9879201340541655,2.6221877940199017,4.202022685063135,1607.177746827587,1625.5416666666667,1723.75,1.6138409132375988,1.6099692089766036,1.6517413126458476,176.18097613989173,195.67022051291445,199.99999877233515,2.9458333333333333,4.096666666666667,4.0225,94.87333333333333,91.97666666666667,92.82249999999999,8.778681167538837,13.282279438728594,4.52633763295528,12.808333333333332,13.736666666666666,14.725,281091.6666666667,308433.3333333333,340325.0,136766.66666666666,163733.33333333334,180225.0,281100.0,308433.3333333333,340325.0,426575.0,455633.3333333333,480675.0,1856.8333333333333,1880.0833333333333,1930.5,1838.8333333333333,1857.6666666666667,1906.25,1520.4166666666667,1590.6666666666667,1637.75,2294.4166666666665,2239.4166666666665,2287.5,1.3321666666666665,1.3646666666666667,1.4065,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,17.0
